LIBELLE_CANONIQUE,VARIANTE
GROUPE,GROUPE
GROUPE,GPE
GROUPEMENT,GROUPEMENT
GROUPEMENT,GPT
GUICHET,GUICHET
HABITATION,HABITATION
HABITATION,HAB
HALAGE,HALAGE
HALAGE,HLG
HALLE,HLE
HALLE,HALLE
HAMEAU,HAM
HAMEAU,HAMEAU
HAUT CHEMIN,HAUT CHEMIN
HAUT CHEMIN,HCH
HAUTEUR,HTR
HAUTEUR,HAUTEUR
HIPPODROME,HIPPODROME
HLM,HABITATION A LOYER MODERE
HLM,HLM
HOTEL,HOT
HOTEL,HOTEL
IGUE,IGUE
ILE,ILE
ILO,ILO
ILOT,ILOT
IMPASSE,IMPASSE
IMPASSE,IMP
JARDIN,JARDIN
JARDIN,JARD
JETEE,JETEE
JETEE,JTE
LAC,LAC
LEVEE,LEVEE
LICES,LICES
LIEU DIT,LIEU DIT
LIEU DIT,LDT
LIEU DIT,LD
LIEU DIT,LIEUDIT
LIEUX DIT,LIEUX DIT
LIGNE,LIGN
LIGNE,LIGNE
LOTISSEMENT,LOTISSEMENT
LOTISSEMENT,LOT
MAIL,MAIL
MAISON,MAISON
MAISON,MAIS
MARCHE,MARCHE
MARE,MARE
MARINA,MARINA
MARINA,MRN
MAS,MAS
MONTEE,MONTEE
MONTEE,MTE
MORNE,MORNE
MOULIN,MLN
MOULIN,MOULIN
MOULIN,MOUL
MUSEE,MUSEE
NATIONALE,NATIONALE
NOUVELLE ROUTE,NOUVELLE ROUTE
NOUVELLE ROUTE,NTE
PALAIS,PALAIS
PALAIS,PAL
PARC,PARC
PARC D ACTIVITES ECONOMIQUES,PAEC
PARC D ACTIVITES ECONOMIQUES,PARC D ACTIVITES ECONOMIQUES
PARKING,PARKING
PARKING,PKG
PARVIS,PARVIS
PARVIS,PRV
PASSAGE,PASSAGE
PASSAGE A NIVEAU,PASSAGE A NIVEAU
PASSAGE A NIVEAU,PN
PASSE,PASSE
PASSE,PASS
PASSERELLE,PASSERELLE
PASSERELLE,PLE
PATIO,PATIO
PERIPHERIQUE,PERIPHERIQUE
PETIT CHEMIN,PT CHEM
PETIT CHEMIN,PETIT CHEMIN
PETIT CHEMIN,PCH
PETIT SENTIER,PETIT SENTIER
PETITE ALLEE,PTA
PETITE ALLEE,PETITE ALLEE
PETITE AVENUE,PETITE AVENUE
PETITE AVENUE,PAE
PETITE IMPASSE,PIM
PETITE IMPASSE,PETITE IMPASSE
PETITE ROUTE,PETITE ROUTE
PETITE ROUTE,PRT
PETITE RUE,PTR
PETITE RUE,PETITE RUE
PHARE,PHARE
PISTE,PISTE
PLACA,PLACA
PLACA,PLA
PLACE,PL
PLACE,PLACE
PLACETTE,PLACETTE
PLACETTE,PTTE
PLACIS,PLACIS
PLACIS,PLCI
PLAGE,PLAGE
PLAINE,PLAINE
PLAN,PLAN
PLATEAU,PLATEAU
PLATEAU,PLT
POINTE,PNT
POINTE,POINTE
PONT,PONT
PORCHE,PCHE
PORCHE,PORCHE
PORT,PORT
PORTE,PORTE
PORTIQUE,PORTIQUE
PORTIQUE,PORQ
POSTE,POSTE
POTERNE,POTERNE
PRE,PRE
PRESQU ILE,PRESQU ILE
PRESQU ILE,PRQ
PROMENADE,PROMENADE
PROMENADE,PROM
QUAI,QUAI
QUARTIER,QUARTIER
QUARTIER,QRT
QUARTIER,QUA
RACCOURCI,RAC
RACCOURCI,RACCOURCI
RAIDILLON,RAID
RAIDILLON,RAIDILLON
RAMPE,RPE
RAMPE,RAMPE
RANGEE,RNG
RANGEE,RANGEE
RAVINE,RVE
RAVINE,RAVINE
REMPART,REM
REMPART,REMPART
RESIDENCE,RESIDENCE
RESIDENCE,RES
RIVE,RIVE
ROCADE,ROCADE
ROND POINT,RPT
ROND POINT,ROND POINT
RONDE,RONDE
RONDE,RDE
ROTONDE,RTD
ROTONDE,ROTONDE
ROUTE,RTE
ROUTE,ROUTE
